Label	Observation Value
2006 Mar	343.20
2006 Apr	344.71
2006 May	343.00
2006 Jun	344.68
2006 Jul	344.17
2006 Aug	341.99
2006 Sep	346.20
2006 Oct	347.25
2006 Nov	348.77
2006 Dec	348.40
2007 Jan	347.32
2007 Feb	347.32
2007 Mar	347.20
2007 Apr	346.33
2007 May	346.74
2007 Jun	348.77
2007 Jul	347.31
2007 Aug	347.86
2007 Sep	347.06
2007 Oct	345.31
2007 Nov	344.60
2007 Dec	344.58
2008 Jan	343.56
2008 Feb	343.86
2008 Mar	345.25
2008 Apr	342.77
2008 May	343.19
2008 Jun	340.42
2008 Jul	338.12
2008 Aug	340.35
2008 Sep	339.38
2008 Oct	342.95
2008 Nov	350.03
2008 Dec	351.83
2009 Jan	352.46
2009 Feb	351.50
2009 Mar	350.89
2009 Apr	351.01
2009 May	350.66
2009 Jun	347.21
2009 Jul	349.13
2009 Aug	348.75
2009 Sep	349.58
2009 Oct	348.13
2009 Nov	348.93
2009 Dec	348.75
2010 Jan	351.37
2010 Feb	349.23
2010 Mar	351.18
2010 Apr	352.76
2010 May	353.57
2010 Jun	353.72
2010 Jul	355.04
2010 Aug	354.99
2010 Sep	356.24
2010 Oct	356.10
2010 Nov	354.01
2010 Dec	354.09
2011 Jan	353.31
2011 Feb	353.51
2011 Mar	351.69
2011 Apr	351.84
2011 May	350.77
2011 Jun	351.08
2011 Jul	352.55
2011 Aug	349.97
2011 Sep	350.83
2011 Oct	351.96
2011 Nov	351.01
2011 Dec	351.38
2012 Jan	351.90
2012 Feb	351.61
2012 Mar	351.20
2012 Apr	352.10
2012 May	351.80
2012 Jun	353.14
2012 Jul	353.80
2012 Aug	351.46
2012 Sep	350.98
2012 Oct	349.88
2012 Nov	351.51
2012 Dec	354.07
2013 Jan	352.79
2013 Feb	352.06
2013 Mar	353.64
2013 Apr	354.25
2013 May	355.43
2013 Jun	355.77
2013 Jul	354.19
2013 Aug	355.12
2013 Sep	354.39
2013 Oct	354.65
2013 Nov	356.05
2013 Dec	354.23
2014 Jan	353.96
2014 Feb	354.15
2014 Mar	355.34
2014 Apr	355.11
2014 May	355.31
2014 Jun	355.57
2014 Jul	355.61
2014 Aug	357.86
2014 Sep	356.80
2014 Oct	358.20
2014 Nov	359.90
2014 Dec	361.01
2015 Jan	363.45
2015 Feb	364.32
2015 Mar	363.16
2015 Apr	363.52
2015 May	363.34
2015 Jun	362.63
2015 Jul	362.49
2015 Aug	363.79
2015 Sep	364.76
2015 Oct	366.76
2015 Nov	365.85
2015 Dec	366.68
2016 Jan	369.22
2016 Feb	368.01
2016 Mar	367.73
2016 Apr	367.47
2016 May	367.18
2016 Jun	367.02
2016 Jul	368.07
2016 Aug	366.75
2016 Sep	367.57
2016 Oct	368.27
2016 Nov	368.27
2016 Dec	367.77
2017 Jan	367.41
2017 Feb	366.81
2017 Mar	367.25
2017 Apr	368.68
2017 May	368.48
2017 Jun	370.03
2017 Jul	371.21
2017 Aug	370.09
2017 Sep	369.74
2017 Oct	369.30
2017 Nov	370.13
2017 Dec	370.99
2018 Jan	369.56
2018 Feb	370.19
2018 Mar	370.97
2018 Apr	370.95
2018 May	371.30
2018 Jun	371.44
2018 Jul	372.25
2018 Aug	373.05
2018 Sep	372.53
2018 Oct	373.24
2018 Nov	373.22
2018 Dec	376.44
2019 Jan	377.06
2019 Feb	376.41
2019 Mar	376.84
2019 Apr	374.55
2019 May	375.56
2019 Jun	376.56
2019 Jul	375.80
2019 Aug	378.22
2019 Sep	377.48
2019 Oct	377.43
2019 Nov	376.65
2019 Dec	376.74
2020 Jan	376.96
2020 Feb	378.92
2020 Mar	379.87
2020 Apr	401.41
2020 May	403.21
2020 Jun	394.71
2020 Jul	392.96
2020 Aug	394.05
2020 Sep	394.62
2020 Oct	394.41
2020 Nov	394.91
2020 Dec	396.80
2021 Jan	399.34
2021 Feb	394.44
2021 Mar	394.87
